_id,report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,route_type,mile_point,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,municipality,surface_condition,junction,intersection_type,road_alignment,road_condition
662d5faf2126de392e7a6498,MCP32590041,230073341,Montgomery County Police,Property Damage Crash,2023-12-22T19:30:00.000,No,1,1,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK -- UNKNOWN LIGHTING,NO CONTROLS,Missing,Municipality,0.31,West,West,0.0,UNKNOWN,LEVEL,BALTIMORE ST,Municipality,KENSINGTON,DRY,Missing,FOUR-WAY INTERSECTION,UNKNOWN,UNKNOWN
662d5faf2126de392e7a6499,MCP33530024,230073214,Montgomery County Police,Injury Crash,2023-12-22T19:17:00.000,Yes,0,3,No,NONMOTORIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,Missing,UNKNOWN,Maryland (State),6.64,North,North,0.0,FEET,LEVEL,GEORGIA AVE,County,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a649a,MCP2906003D,230073209,Montgomery County Police,Injury Crash,2023-12-22T19:00:00.000,No,0,2,No,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,Missing,County,2.77,North,North,0.0,FEET,LEVEL,MUDDY BRANCH RD,Municipality,GAITHERSBURG,DRY,INTERSECTION,Y-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a649b,DM8504001K,230073211,Takoma Park Police Depart,Property Damage Crash,2023-12-22T19:00:00.000,Yes,1,1,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK NO LIGHTS,NO CONTROLS,Missing,Municipality,0.0,South,South,0.0,FEET,LEVEL,GLENSIDE DR,Municipality,TAKOMA PARK,DRY,Missing,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a649c,DM85020014,230073201,Takoma Park Police Depart,Property Damage Crash,2023-12-22T17:58:00.000,No,0,2,No,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,Missing,NONE DETECTED,Maryland (State),0.27,South,North,0.27,UNKNOWN,Missing,NEW HAMPSHIRE AVE,Municipality,TAKOMA PARK,DRY,OTHER,Missing,STRAIGHT,Missing
662d5faf2126de392e7a649d,EJ7871006Y,230073197,Gaithersburg Police Depar,Property Damage Crash,2023-12-22T17:55:00.000,No,1,2,No,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"N/A, NONE DETECTED",County,2.9,East,North,100.0,FEET,LEVEL,MUDDY BRANCH RD,Unknown,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a649e,MCP30530074,230073195,Montgomery County Police,Property Damage Crash,2023-12-22T17:29:00.000,No,1,2,No,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,Missing,Missing,Maryland (State),3.86,West,West,5.0,FEET,LEVEL,VEIRS MILL RD,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a649f,EJ786600DG,230073193,Gaithersburg Police Depar,Property Damage Crash,2023-12-22T17:25:00.000,No,0,2,No,DRIVER,SAME DIRECTION SIDESWIPE,CLOUDY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Municipality,0.25,East,South,0.1,MILE,LEVEL,W WATKINS MILL RD,Unknown,Missing,DRY,INTERCHANGE RELATED,OTHER,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a0,MCP23390093,230073189,Montgomery County Police,Property Damage Crash,2023-12-22T16:59:00.000,Yes,2,2,No,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",County,0.165,North,South,0.1,MILE,LEVEL,BOU AVE,Unknown,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,CURVE LEFT,NO DEFECTS
662d5faf2126de392e7a64a1,MCP27230088,230073187,Montgomery County Police,Property Damage Crash,2023-12-22T16:30:00.000,No,1,1,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,County,0.01,East,North,50.0,FEET,LEVEL,LOYOLA ST,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a2,EJ7885003Z,230073178,Gaithersburg Police Depar,Injury Crash,2023-12-22T16:12:00.000,No,1,3,No,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,Maryland (State),3.79,North,North,0.0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,Municipality,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a3,MCP33510022,230073161,Montgomery County Police,Injury Crash,2023-12-22T15:28:00.000,No,1,2,No,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,County,0.0,North,East,900.0,FEET,LEVEL,BROADBIRCH DR,County,Missing,DRY,OTHER DRIVEWAY,OTHER,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a4,MCP3256002Q,230073160,Montgomery County Police,Property Damage Crash,2023-12-22T15:00:00.000,No,2,3,No,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,US (State),5.11,South,North,0.0,FEET,LEVEL,COLUMBIA PIKE,County,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a5,MCP1378016R,230073158,Montgomery County Police,Property Damage Crash,2023-12-22T14:57:00.000,No,1,2,No,DRIVER,SAME DIR REAR END,CLOUDY,DAYLIGHT,NO CONTROLS,NONE DETECTED,Maryland (State),5.58,East,East,500.0,FEET,LEVEL,RIVER RD,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a6,MCP2329002S,230073144,Montgomery County Police,Property Damage Crash,2023-12-22T13:45:00.000,No,1,3,No,DRIVER,SAME DIRECTION LEFT TURN,CLEAR,DAYLIGHT,NO CONTROLS,Missing,Missing,0.0,West,East,100.0,FEET,LEVEL,W WATKINS MILL RD,Missing,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a7,MCP2837005X,230073149,Montgomery County Police,Injury Crash,2023-12-22T13:45:00.000,No,1,2,No,DRIVER,SAME DIR REAR END,Missing,DAYLIGHT,NO CONTROLS,NONE DETECTED,County,0.97,West,East,5.0,FEET,LEVEL,RANDOLPH RD,County,Missing,DRY,Missing,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a8,MCP209400N5,230073138,Montgomery County Police,Property Damage Crash,2023-12-22T13:04:00.000,No,2,2,No,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,County,3.43,East,North,0.0,FEET,LEVEL,SEVEN LOCKS RD,County,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64a9,MCP2667008Z,230073137,Montgomery County Police,Injury Crash,2023-12-22T13:00:00.000,Yes,0,2,No,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,Missing,"NONE DETECTED, UNKNOWN",Maryland (State),6.95,South,North,20.0,FEET,LEVEL,WOODFIELD RD,County,Missing,DRY,Missing,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64aa,MCP3113005R,230073129,Montgomery County Police,Property Damage Crash,2023-12-22T12:15:00.000,No,2,2,No,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,STOP SIGN,Missing,County,0.51,South,East,0.0,FEET,LEVEL,BROADBIRCH DR,County,Missing,DRY,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64ab,MCP3199005N,230073116,Montgomery County Police,Injury Crash,2023-12-22T11:29:00.000,No,1,2,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,County,1.42,West,West,300.0,FEET,LEVEL,BEL PRE RD,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64ac,MCP2663000W,230073108,Montgomery County Police,Property Damage Crash,2023-12-22T11:04:00.000,No,3,3,No,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),3.27,South,South,50.0,FEET,LEVEL,GEORGIA AVE,County,Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64ad,MCP27610057,230073106,Montgomery County Police,Property Damage Crash,2023-12-22T10:19:00.000,No,1,1,No,DRIVER,SINGLE VEHICLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,Maryland (State),2.26,South,North,0.0,FEET,GRADE DOWNHILL,CLARKSBURG RD,County,Missing,DRY,INTERSECTION,ROUNDABOUT,OTHER,NO DEFECTS
662d5faf2126de392e7a64ae,MCP28450089,230073103,Montgomery County Police,Injury Crash,2023-12-22T10:00:00.000,Yes,1,4,No,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",Interstate (State),14.1,West,East,100.0,FEET,LEVEL,CAPITAL BELTWAY,Unknown,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64af,MCP27640030,230073094,Montgomery County Police,Property Damage Crash,2023-12-22T09:45:00.000,No,0,0,Yes,DRIVER,OTHER,CLEAR,DAYLIGHT,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
662d5faf2126de392e7a64b0,DD56520045,230073079,Rockville Police Departme,Property Damage Crash,2023-12-22T08:13:00.000,No,0,2,No,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),1.48,East,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,County,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64b1,MCP913000H9,230073075,Montgomery County Police,Property Damage Crash,2023-12-22T08:03:00.000,No,1,1,No,DRIVER,SAME DIRECTION RIGHT TURN,CLEAR,DAYLIGHT,Missing,NONE DETECTED,Maryland (State),0.28,North,South,45.0,FEET,LEVEL,FLOWER AVE,County,Missing,DRY,NON INTERSECTION,Missing,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64b2,MCP3130006Z,230073072,Montgomery County Police,Injury Crash,2023-12-22T07:50:00.000,No,0,3,No,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,YIELD SIGN,NONE DETECTED,Maryland (State),1.24,South,East,5.0,FEET,LEVEL,UNIVERSITY BLVD W,Maryland (State),Missing,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64b3,MCP3113005Q,230073069,Montgomery County Police,Injury Crash,2023-12-22T07:15:00.000,No,2,3,No,DRIVER,SAME DIR REAR END,CLEAR,DAWN,TRAFFIC SIGNAL,Missing,Maryland (State),5.16,South,North,0.0,FEET,LEVEL,NEW HAMPSHIRE AVE,US (State),Missing,DRY,INTERSECTION,Y-INTERSECTION,STRAIGHT,NO DEFECTS
662d5faf2126de392e7a64b4,MCP241100CK,230073065,Montgomery County Police,Property Damage Crash,2023-12-22T05:41:00.000,No,1,3,No,DRIVER,OTHER,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,Maryland (State),1.48,East,East,0.0,FEET,LEVEL,VEIRS MILL RD,County,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS
